"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"174" 4.029 80.163 33.000 0.000 0.000
"175" 4.329 90.289 33.000 0.000 0.000
"176" 4.729 106.253 33.000 0.000 0.000
"177" 2.829 49.604 33.000 0.000 0.000
"178" 5.129 120.932 33.000 0.000 0.000
"179" 5.629 142.63 33.000 0.000 0.000
"180" 6.129 166.077 33.000 0.000 0.000
"181" 2.529 31.762 33.000 1.265 0.000
"182" 2.829 38.288 33.000 0.000 0.000
"183" 3.129 45.383 33.000 0.000 0.000
"184" 3.429 53.049 33.000 0.000 0.000
"185" 3.729 63.149 33.000 0.000 0.000
"186" 4.029 72.105 33.000 0.000 0.000
"187" 4.329 81.631 33.000 0.000 0.000
"188" 3.129 57.9 33.000 0.000 0.000
"189" 4.729 96.794 33.000 0.000 0.000
"190" 5.129 110.674 33.000 0.000 0.000
"191" 5.629 131.371 33.000 0.000 0.000
"192" 6.129 153.819 33.000 0.000 0.000
"193" 2.529 26.704 33.000 1.265 0.000
"194" 2.829 32.63 33.000 0.000 0.000
"195" 3.129 39.125 33.000 0.000 0.000
"196" 3.429 46.191 33.000 0.000 0.000
"197" 3.729 55.691 33.000 0.000 0.000
"198" 4.029 64.047 33.000 0.000 0.000
"199" 3.429 66.765 33.000 0.000 0.000
"200" 4.329 72.972 33.000 0.000 0.000
"201" 4.729 87.336 33.000 0.000 0.000
"202" 5.129 100.416 33.000 0.000 0.000
"203" 5.629 120.113 33.000 0.000 0.000
"204" 6.129 141.561 33.000 0.000 0.000
"205" 2.529 21.646 33.000 2.927 0.330
"206" 2.829 26.971 33.000 0.000 0.000
"207" 3.129 32.867 33.000 0.000 0.000
"208" 3.429 39.333 33.000 0.000 0.000
"209" 3.729 48.233 33.000 0.000 0.000
"210" 3.729 78.065 33.000 0.000 0.000
"211" 4.029 55.989 33.000 0.000 0.000
"212" 4.329 64.314 33.000 0.000 0.000
"213" 4.729 77.878 33.000 0.000 0.000
"214" 5.129 90.158 33.000 0.000 0.000
"215" 5.629 108.855 33.000 0.000 0.000
"216" 6.129 129.303 33.000 0.000 0.000
"217" 4.029 88.221 33.000 0.000 0.000
